Year,Month,Mdate,Sensor_Name,Count,Rank
2009,August,13,Bourke Street Mall (South),29874,2.0
2009,August,13,Melbourne Central,28213,3.0
2009,August,13,Flinders Street Station Underpass,27159,4.0
2009,August,13,Flagstaff Station,25540,5.0
2009,August,13,Princes Bridge,24093,6.0
2009,August,13,Bourke Street Mall (North),20746,7.0
2009,August,13,State Library,19340,8.0
2009,August,13,Australia on Collins,18229,9.0
2009,August,13,Collins Place (South),14640,10.0
2009,August,14,Town Hall (West),44254,1.0
2009,August,14,Bourke Street Mall (South),39959,2.0
2009,August,14,Melbourne Central,35398,3.0
2009,August,14,Flinders Street Station Underpass,30972,4.0
2009,August,14,Princes Bridge,29464,5.0
2009,August,14,Bourke Street Mall (North),23584,6.0
2009,August,14,Flagstaff Station,23488,7.0
2009,August,14,State Library,22929,8.0
2009,August,14,Australia on Collins,22113,9.0
2009,August,14,Collins Place (South),14441,10.0
2009,August,15,Town Hall (West),39711,1.0
2009,August,15,Melbourne Central,30279,2.0
2009,August,15,Bourke Street Mall (South),29231,3.0
2009,August,15,Princes Bridge,26521,4.0
2009,August,15,Bourke Street Mall (North),20730,5.0
2009,August,15,Flinders Street Station Underpass,19874,6.0
2009,August,15,State Library,16450,7.0
2009,August,15,Australia on Collins,13884,8.0
2009,August,15,Sandridge Bridge,7505,9.0
2009,August,15,New Quay,5937,10.0
2009,August,16,Town Hall (West),25737,1.0
2009,August,16,Melbourne Central,21130,2.0
2009,August,16,Bourke Street Mall (South),19851,3.0
2009,August,16,Princes Bridge,19184,4.0
2009,August,16,Flinders Street Station Underpass,13070,5.0
2009,August,16,Bourke Street Mall (North),12961,6.0
2009,August,16,State Library,12115,7.0
2009,August,16,Australia on Collins,9125,8.0
2009,August,16,New Quay,4853,9.0
2009,August,16,Sandridge Bridge,4747,10.0
2009,August,17,Town Hall (West),32053,1.0
2009,August,17,Flinders Street Station Underpass,25567,2.0
2009,August,17,Bourke Street Mall (South),25272,3.0
2009,August,17,Melbourne Central,25211,4.0
