Year,Month,Sensor_Name,Count,Rank
2015,August,Spencer St-Collins St (North),777888,7.0
2015,August,Bourke Street Mall (South),733689,8.0
2015,August,The Arts Centre,656452,9.0
2015,August,State Library,623419,10.0
2015,December,Flinders St-Swanston St (West),1931228,1.0
2015,December,Town Hall (West),1407202,2.0
2015,December,Bourke Street Mall (South),1176202,3.0
2015,December,Flinders Street Station Underpass,1135071,4.0
2015,December,City Square,1060047,5.0
2015,December,Flinders St-Elizabeth St (East),1005259,6.0
2015,December,Princes Bridge,949329,7.0
2015,December,Melbourne Central,945321,8.0
2015,December,Spencer St-Collins St (North),840567,9.0
2015,December,Bourke Street Mall (North),728157,10.0
2015,February,Flinders St-Swanston St (West),1645443,1.0
2015,February,Town Hall (West),1074216,2.0
2015,February,Flinders St-Elizabeth St (East),1045406,3.0
2015,February,Melbourne Central,858384,4.0
2015,February,Princes Bridge,836623,5.0
2015,February,Flinders Street Station Underpass,836508,6.0
2015,February,City Square,781262,7.0
2015,February,Spencer St-Collins St (North),709773,8.0
2015,February,Bourke Street Mall (South),705162,9.0
2015,February,The Arts Centre,688364,10.0
2015,January,Flinders St-Swanston St (West),1738953,1.0
2015,January,Town Hall (West),1154347,2.0
2015,January,Flinders St-Elizabeth St (East),1113193,3.0
2015,January,Princes Bridge,859144,4.0
2015,January,Melbourne Central,838951,5.0
2015,January,Bourke Street Mall (South),794963,6.0
2015,January,City Square,774231,7.0
2015,January,Flinders Street Station Underpass,694347,8.0
2015,January,Spencer St-Collins St (North),619121,9.0
2015,January,The Arts Centre,591321,10.0
2015,July,Flinders St-Swanston St (West),1785263,1.0
2015,July,Flinders Street Station Underpass,1153654,2.0
2015,July,Town Hall (West),1116273,3.0
2015,July,Flinders St-Elizabeth St (East),1072318,4.0
2015,July,Melbourne Central,928252,5.0
2015,July,Bourke Street Mall (North),854795,6.0
2015,July,Spencer St-Collins St (North),815189,7.0
2015,July,Princes Bridge,791801,8.0
2015,July,Bourke Street Mall (South),763194,9.0
2015,July,City Square,719197,10.0
2015,June,Flinders St-Swanston St (West),1727424,1.0
2015,June,Town Hall (West),1055767,2.0
2015,June,Flinders St-Elizabeth St (East),993804,3.0
2015,June,Flinders Street Station Underpass,934698,4.0
2015,June,Melbourne Central,871822,5.0
2015,June,Princes Bridge,865442,6.0
2015,June,Bourke Street Mall (North),785631,7.0
2015,June,Spencer St-Collins St (North),739170,8.0
2015,June,Bourke Street Mall (South),709853,9.0
2015,June,The Arts Centre,662994,10.0
2015,March,Flinders St-Swanston St (West),1966429,1.0
2015,March,Flinders Street Station Underpass,1223332,2.0
2015,March,Town Hall (West),1191867,3.0
2015,March,Flinders St-Elizabeth St (East),1162680,4.0
2015,March,Melbourne Central,1077952,5.0
2015,March,Princes Bridge,968980,6.0
2015,March,City Square,910872,7.0
2015,March,Bourke Street Mall (North),859945,8.0
2015,March,Bourke Street Mall (South),797949,9.0
2015,March,Spencer St-Collins St (North),794845,10.0
2015,May,Flinders St-Swanston St (West),1775415,1.0
2015,May,Flinders Street Station Underpass,1116699,2.0
2015,May,Town Hall (West),1083577,3.0
2015,May,Flinders St-Elizabeth St (East),1064189,4.0
2015,May,Melbourne Central,947615,5.0
2015,May,Bourke Street Mall (North),805145,6.0
2015,May,Princes Bridge,783172,7.0
2015,May,Spencer St-Collins St (North),769928,8.0
2015,May,City Square,733911,9.0
2015,May,Bourke Street Mall (South),721904,10.0
2015,November,Flinders St-Swanston St (West),1818857,1.0
2015,November,Town Hall (West),1163968,2.0
2015,November,Flinders Street Station Underpass,1021637,3.0
2015,November,Melbourne Central,922027,4.0
2015,November,Princes Bridge,913026,5.0
2015,November,Spencer St-Collins St (North),856077,6.0
2015,November,Bourke Street Mall (South),851184,7.0
2015,November,City Square,797448,8.0
2015,November,Flinders St-Elizabeth St (East),759027,9.0
2015,November,The Arts Centre,704579,10.0
2015,October,Flinders St-Swanston St (West),1820460,1.0
2015,October,Town Hall (West),1100600,2.0
2015,October,Flinders Street Station Underpass,1048475,3.0
2015,October,Melbourne Central,960945,4.0
2015,October,Princes Bridge,899311,5.0
2015,October,Spencer St-Collins St (North),881282,6.0
2015,October,Bourke Street Mall (South),806308,7.0
2015,October,City Square,803964,8.0
2015,October,Bourke Street Mall (North),796249,9.0
2015,October,The Arts Centre,705176,10.0
2015,September,Flinders St-Swanston St (West),1727151,1.0
2015,September,Town Hall (West),1049441,2.0
2015,September,Flinders Street Station Underpass,1038950,3.0
2015,September,Flinders St-Elizabeth St (East),1021606,4.0
2015,September,Melbourne Central,930881,5.0
2015,September,Princes Bridge,821938,6.0
2015,September,Bourke Street Mall (North),802090,7.0
2015,September,Spencer St-Collins St (North),758920,8.0
2015,September,Bourke Street Mall (South),751721,9.0
2015,September,St Kilda Rd-Alexandra Gardens,745970,10.0
2016,April,Flinders St-Swanston St (West),1900791,1.0
2016,April,Town Hall (West),1187663,2.0
2016,April,Flinders Street Station Underpass,1051200,3.0
2016,April,Flinders St-Elizabeth St (East),1041483,4.0
2016,April,Bourke Street Mall (North),1027597,5.0
2016,April,Princes Bridge,1025524,6.0
2016,April,Melbourne Central,975817,7.0
2016,April,City Square,899690,8.0
2016,April,Spencer St-Collins St (North),898025,9.0
2016,April,The Arts Centre,821361,10.0
2016,August,Flinders St-Swanston St (West),1805067,1.0
2016,August,Southbank,1139566,2.0
2016,August,Town Hall (West),1040264,3.0
2016,August,Melbourne Central,1024618,4.0
2016,August,Flinders Street Station Underpass,1023647,5.0
2016,August,Bourke Street Mall (North),997722,6.0
2016,August,Spencer St-Collins St (North),955010,7.0
2016,August,Princes Bridge,877871,8.0
2016,August,City Square,733874,9.0
2016,August,The Arts Centre,714621,10.0
2016,December,Flinders St-Swanston St (West),1857062,1.0
2016,December,Southbank,1474484,2.0
2016,December,Bourke Street Mall (North),1248598,3.0
2016,December,Flinders Street Station Underpass,1149211,4.0
2016,December,Bourke Street Mall (South),1124133,5.0
2016,December,Princes Bridge,992642,6.0
2016,December,City Square,988001,7.0
2016,December,Spencer St-Collins St (North),876361,8.0
2016,December,The Arts Centre,671075,9.0
2016,December,Collins St (North),616792,10.0
2016,February,Flinders St-Swanston St (West),1777979,1.0
2016,February,Town Hall (West),1130229,2.0
2016,February,Flinders Street Station Underpass,1041783,3.0
2016,February,Flinders St-Elizabeth St (East),1034116,4.0
2016,February,Princes Bridge,1000371,5.0
2016,February,Melbourne Central,935836,6.0
2016,February,Bourke Street Mall (North),920858,7.0
2016,February,City Square,898480,8.0
2016,February,Spencer St-Collins St (North),881123,9.0
2016,February,The Arts Centre,777712,10.0
2016,January,Flinders St-Swanston St (West),1844471,1.0
2016,January,Town Hall (West),1159534,2.0
2016,January,Flinders St-Elizabeth St (East),1046441,3.0
2016,January,Flinders Street Station Underpass,1024338,4.0
2016,January,Princes Bridge,1013688,5.0
2016,January,Melbourne Central,854232,6.0
2016,January,City Square,794832,7.0
2016,January,Bourke Street Mall (South),794179,8.0
2016,January,The Arts Centre,790301,9.0
2016,January,Bourke Street Mall (North),771448,10.0
2016,July,Flinders St-Swanston St (West),1811931,1.0
2016,July,Southbank,1198862,2.0
2016,July,Town Hall (West),1100423,3.0
2016,July,Bourke Street Mall (North),1043822,4.0
2016,July,Melbourne Central,1034508,5.0
2016,July,Flinders Street Station Underpass,1027802,6.0
2016,July,Spencer St-Collins St (North),918993,7.0
2016,July,Princes Bridge,917175,8.0
2016,July,City Square,770654,9.0
2016,July,Bourke Street Mall (South),760530,10.0
2016,June,Flinders St-Swanston St (West),1600637,1.0
2016,June,Town Hall (West),981576,2.0
2016,June,Bourke Street Mall (North),964601,3.0
2016,June,Flinders Street Station Underpass,944461,4.0
2016,June,Southbank,936557,5.0
2016,June,Spencer St-Collins St (North),890224,6.0
2016,June,Melbourne Central,874207,7.0
2016,June,Princes Bridge,735724,8.0
2016,June,Bourke Street Mall (South),704311,9.0
2016,June,City Square,612759,10.0
2016,March,Flinders St-Swanston St (West),1951326,1.0
2016,March,Town Hall (West),1198900,2.0
2016,March,Flinders St-Elizabeth St (East),1086249,3.0
2016,March,Flinders Street Station Underpass,1081469,4.0
2016,March,Princes Bridge,1047948,5.0
2016,March,Melbourne Central,1033265,6.0
2016,March,Bourke Street Mall (North),990888,7.0
2016,March,Spencer St-Collins St (North),904908,8.0
2016,March,City Square,869474,9.0
2016,March,The Arts Centre,788127,10.0
2016,May,Flinders St-Swanston St (West),1730658,1.0
2016,May,Town Hall (West),1036787,2.0
2016,May,Flinders St-Elizabeth St (East),1009353,3.0
2016,May,Flinders Street Station Underpass,1003051,4.0
2016,May,Southbank,1000634,5.0
2016,May,Bourke Street Mall (North),970128,6.0
2016,May,Melbourne Central,963822,7.0
2016,May,Spencer St-Collins St (North),929631,8.0
2016,May,Princes Bridge,799195,9.0
2016,May,City Square,709200,10.0
2016,November,Flinders St-Swanston St (West),1740523,1.0
2016,November,Southbank,1209377,2.0
2016,November,Flinders Street Station Underpass,1083579,3.0
2016,November,Bourke Street Mall (North),1039800,4.0
2016,November,Princes Bridge,936075,5.0
2016,November,Spencer St-Collins St (North),920024,6.0
2016,November,Bourke Street Mall (South),800306,7.0
2016,November,City Square,790066,8.0
2016,November,The Arts Centre,723913,9.0
2016,November,State Library,641582,10.0
2016,October,Flinders St-Swanston St (West),1737392,1.0
2016,October,Southbank,1137061,2.0
2016,October,Flinders Street Station Underpass,1025030,3.0
2016,October,Bourke Street Mall (North),992592,4.0
2016,October,Spencer St-Collins St (North),918917,5.0
2016,October,Princes Bridge,853612,6.0
2016,October,Bourke Street Mall (South),749275,7.0
2016,October,City Square,704322,8.0
2016,October,The Arts Centre,645213,9.0
2016,October,State Library,618886,10.0
2016,September,Flinders St-Swanston St (West),1735719,1.0
2016,September,Southbank,1127884,2.0
2016,September,Town Hall (West),1047727,3.0
2016,September,Flinders Street Station Underpass,994761,4.0
2016,September,Bourke Street Mall (North),986772,5.0
2016,September,Melbourne Central,964707,6.0
2016,September,Spencer St-Collins St (North),894769,7.0
2016,September,Princes Bridge,866167,8.0
2016,September,Bourke Street Mall (South),726441,9.0
2016,September,City Square,705794,10.0
2017,April,Southbank,1308507,1.0
2017,April,Flinders Street Station Underpass,1012907,2.0
2017,April,Bourke Street Mall (North),997482,3.0
2017,April,Melbourne Central,987618,4.0
2017,April,Princes Bridge,977749,5.0
2017,April,Flinders St-Elizabeth St (East),969972,6.0
2017,April,Spencer St-Collins St (North),871082,7.0
2017,April,Bourke Street Mall (South),760434,8.0
2017,April,The Arts Centre,743788,9.0
2017,April,State Library,654330,10.0
2017,August,Flinders La-Swanston St (West),1482257,1.0
2017,August,Southbank,1084862,2.0
2017,August,Flinders Street Station Underpass,1040597,3.0
2017,August,Spencer St-Collins St (North),1031431,4.0
2017,August,Town Hall (West),1028463,5.0
2017,August,Melbourne Central,968681,6.0
2017,August,Bourke Street Mall (North),941881,7.0
2017,August,The Arts Centre,714967,8.0
2017,August,Bourke Street Mall (South),684195,9.0
2017,August,State Library,663859,10.0
2017,December,Flinders La-Swanston St (West),1534446,1.0
2017,December,Southbank,1496960,2.0
2017,December,Town Hall (West),1264956,3.0
2017,December,Flinders Street Station Underpass,1196341,4.0
2017,December,Flinders St-Elizabeth St (East),1153637,5.0
2017,December,Bourke Street Mall (North),1136439,6.0
2017,December,Princes Bridge,1086973,7.0
2017,December,Bourke Street Mall (South),1027063,8.0
2017,December,Melbourne Central,927957,9.0
2017,December,Spencer St-Collins St (North),911571,10.0
2017,February,Southbank,1209324,1.0
2017,February,Flinders Street Station Underpass,1021211,2.0
2017,February,Princes Bridge,914301,3.0
2017,February,Spencer St-Collins St (North),899168,4.0
2017,February,Melbourne Central,893209,5.0
2017,February,Bourke Street Mall (North),884361,6.0
2017,February,Bourke Street Mall (South),686297,7.0
2017,February,The Arts Centre,676087,8.0
2017,February,State Library,629603,9.0
2017,February,Flagstaff Station,616789,10.0
2017,January,Southbank,1400383,1.0
2017,January,Flinders Street Station Underpass,1055408,2.0
2017,January,Princes Bridge,1030135,3.0
2017,January,Bourke Street Mall (North),915872,4.0
2017,January,Spencer St-Collins St (North),828032,5.0
2017,January,Bourke Street Mall (South),773310,6.0
2017,January,The Arts Centre,748812,7.0
2017,January,Birrarung Marr,642163,8.0
2017,January,City Square,579530,9.0
2017,January,State Library,545573,10.0
2017,July,Flinders La-Swanston St (West),1504540,1.0
2017,July,Southbank,1203955,2.0
2017,July,Town Hall (West),1080143,3.0
2017,July,Flinders Street Station Underpass,1055075,4.0
2017,July,Bourke Street Mall (North),1005119,5.0
2017,July,Spencer St-Collins St (North),996873,6.0
2017,July,Melbourne Central,963212,7.0
2017,July,The Arts Centre,804272,8.0
2017,July,Bourke Street Mall (South),742760,9.0
2017,July,Little Collins St-Swanston St (East),669455,10.0
2017,June,Southbank,1115676,1.0
2017,June,Flinders Street Station Underpass,1009192,2.0
2017,June,Town Hall (West),971094,3.0
2017,June,Bourke Street Mall (North),968495,4.0
2017,June,Flinders St-Elizabeth St (East),963521,5.0
2017,June,Spencer St-Collins St (North),954109,6.0
2017,June,Melbourne Central,871622,7.0
2017,June,The Arts Centre,849099,8.0
2017,June,Princes Bridge,748546,9.0
2017,June,Bourke Street Mall (South),702261,10.0
2017,March,Southbank,1389256,1.0
2017,March,Flinders Street Station Underpass,1163239,2.0
2017,March,Melbourne Central,1065189,3.0
2017,March,Spencer St-Collins St (North),1060384,4.0
2017,March,Bourke Street Mall (North),1033731,5.0
2017,March,Princes Bridge,1020710,6.0
2017,March,Bourke Street Mall (South),757690,7.0
2017,March,State Library,719976,8.0
2017,March,Flagstaff Station,712181,9.0
2017,March,Collins St (North),543269,10.0
2017,May,Southbank,1157203,1.0
2017,May,Flinders St-Elizabeth St (East),1070699,2.0
2017,May,Flinders Street Station Underpass,1058039,3.0
2017,May,Spencer St-Collins St (North),1023285,4.0
2017,May,Bourke Street Mall (North),978905,5.0
2017,May,Princes Bridge,956815,6.0
2017,May,Melbourne Central,922636,7.0
2017,May,The Arts Centre,845480,8.0
2017,May,Bourke Street Mall (South),693992,9.0
2017,May,State Library,651078,10.0
2017,November,Flinders La-Swanston St (West),1434538,1.0
2017,November,Southbank,1336592,2.0
2017,November,Flinders St-Elizabeth St (East),1178237,3.0
2017,November,Flinders Street Station Underpass,1174889,4.0
2017,November,Town Hall (West),1093601,5.0
2017,November,Princes Bridge,1055953,6.0
2017,November,Spencer St-Collins St (North),994839,7.0
2017,November,Bourke Street Mall (North),990897,8.0
2017,November,Melbourne Central,932668,9.0
2017,November,Bourke Street Mall (South),804618,10.0
2017,October,Flinders La-Swanston St (West),1369663,1.0
2017,October,Southbank,1305189,2.0
2017,October,Flinders Street Station Underpass,1149960,3.0
2017,October,Town Hall (West),1037201,4.0
2017,October,Spencer St-Collins St (North),1013618,5.0
2017,October,Bourke Street Mall (North),963580,6.0
2017,October,Melbourne Central,956458,7.0
2017,October,The Arts Centre,861405,8.0
2017,October,Bourke Street Mall (South),753803,9.0
2017,October,Melbourne Central-Elizabeth St (East),743330,10.0
2017,September,Flinders La-Swanston St (West),1329334,1.0
2017,September,Southbank,1134351,2.0
2017,September,Flinders Street Station Underpass,1017160,3.0
2017,September,Town Hall (West),994995,4.0
2017,September,Spencer St-Collins St (North),943961,5.0
2017,September,Bourke Street Mall (North),937740,6.0
2017,September,Melbourne Central,929795,7.0
2017,September,The Arts Centre,771848,8.0
2017,September,Bourke Street Mall (South),699499,9.0
2017,September,Melbourne Central-Elizabeth St (East),690642,10.0
2018,April,Flinders La-Swanston St (West),1451362,1.0
2018,April,Southbank,1328318,2.0
2018,April,Town Hall (West),1162057,3.0
2018,April,Princes Bridge,1136327,4.0
2018,April,Flinders Street Station Underpass,1129458,5.0
2018,April,Flinders St-Elizabeth St (East),1123654,6.0
2018,April,Melbourne Central,1002792,7.0
2018,April,Spencer St-Collins St (North),967713,8.0
2018,April,Bourke Street Mall (North),962898,9.0
2018,April,The Arts Centre,886558,10.0
2018,August,Flinders La-Swanston St (West),1342688,1.0
2018,August,Southbank,1164656,2.0
2018,August,Flinders St-Elizabeth St (East),1163597,3.0
2018,August,Spencer St-Collins St (North),1074691,4.0
2018,August,Town Hall (West),1034464,5.0
2018,August,Bourke Street Mall (North),997765,6.0
2018,August,Melbourne Central,971272,7.0
2018,August,Princes Bridge,928151,8.0
2018,August,The Arts Centre,794830,9.0
2018,August,Melbourne Central-Elizabeth St (East),735170,10.0
2018,December,Southbank,1520180,1.0
2018,December,Town Hall (West),1225432,2.0
2018,December,Bourke Street Mall (North),1147555,3.0
2018,December,Flinders Street Station Underpass,1092166,4.0
2018,December,Bourke Street Mall (South),968797,5.0
2018,December,Spencer St-Collins St (North),935851,6.0
2018,December,Princes Bridge,929359,7.0
2018,December,Melbourne Central,858879,8.0
2018,December,Melbourne Central-Elizabeth St (East),774632,9.0
2018,December,Little Collins St-Swanston St (East),757379,10.0
2018,February,Southbank,1369333,1.0
2018,February,Flinders La-Swanston St (West),1358989,2.0
2018,February,Flinders Street Station Underpass,1145147,3.0
2018,February,Flinders St-Elizabeth St (East),1103283,4.0
2018,February,Princes Bridge,1102898,5.0
2018,February,Town Hall (West),1035079,6.0
2018,February,Spencer St-Collins St (North),953082,7.0
2018,February,Bourke Street Mall (North),908056,8.0
2018,February,Melbourne Central,892607,9.0
2018,February,The Arts Centre,850372,10.0
2018,January,Flinders La-Swanston St (West),1455498,1.0
2018,January,Southbank,1439788,2.0
2018,January,Princes Bridge,1199066,3.0
2018,January,Flinders St-Elizabeth St (East),1153177,4.0
2018,January,Flinders Street Station Underpass,1110076,5.0
2018,January,Town Hall (West),1084434,6.0
2018,January,The Arts Centre,953696,7.0
2018,January,Bourke Street Mall (North),892058,8.0
2018,January,Spencer St-Collins St (North),891489,9.0
2018,January,Melbourne Central,808699,10.0
2018,July,Flinders La-Swanston St (West),1372753,1.0
2018,July,Southbank,1213328,2.0
2018,July,Flinders St-Elizabeth St (East),1153935,3.0
2018,July,Spencer St-Collins St (North),1080523,4.0
2018,July,Town Hall (West),1057816,5.0
2018,July,Bourke Street Mall (North),1052863,6.0
2018,July,Flinders Street Station Underpass,1002381,7.0
2018,July,Princes Bridge,965085,8.0
2018,July,Melbourne Central,940135,9.0
2018,July,The Arts Centre,799666,10.0
2018,June,Flinders La-Swanston St (West),1250034,1.0
2018,June,Southbank,1082290,2.0
2018,June,Flinders St-Elizabeth St (East),1062634,3.0
2018,June,Bourke Street Mall (North),982267,4.0
2018,June,Spencer St-Collins St (North),979066,5.0
2018,June,Town Hall (West),969195,6.0
2018,June,Flinders Street Station Underpass,918147,7.0
2018,June,Princes Bridge,876728,8.0
2018,June,Melbourne Central,846871,9.0
2018,June,The Arts Centre,719852,10.0
2018,March,Southbank,1552011,1.0
2018,March,Flinders La-Swanston St (West),1543041,2.0
2018,March,Flinders Street Station Underpass,1246582,3.0
2018,March,Princes Bridge,1234106,4.0
2018,March,Flinders St-Elizabeth St (East),1225208,5.0
2018,March,Town Hall (West),1153946,6.0
2018,March,Spencer St-Collins St (North),1081960,7.0
2018,March,Melbourne Central,1076732,8.0
2018,March,Bourke Street Mall (North),1044253,9.0
2018,March,The Arts Centre,919971,10.0
2018,May,Flinders La-Swanston St (West),1338695,1.0
2018,May,Southbank,1134039,2.0
2018,May,Flinders St-Elizabeth St (East),1094188,3.0
2018,May,Spencer St-Collins St (North),1069017,4.0
2018,May,Town Hall (West),1033314,5.0
2018,May,Flinders Street Station Underpass,982157,6.0
2018,May,Bourke Street Mall (North),975341,7.0
2018,May,Melbourne Central,962540,8.0
2018,May,Princes Bridge,850172,9.0
2018,May,Melbourne Central-Elizabeth St (East),731234,10.0
2018,November,Southbank,1319719,1.0
2018,November,Flinders St-Elizabeth St (East),1185085,2.0
2018,November,Town Hall (West),1073426,3.0
2018,November,Spencer St-Collins St (North),1057705,4.0
2018,November,Bourke Street Mall (North),1036162,5.0
2018,November,Flinders Street Station Underpass,1008178,6.0
2018,November,Melbourne Central,880104,7.0
2018,November,Bourke Street Mall (South),773508,8.0
2018,November,The Arts Centre,710981,9.0
2018,November,Little Collins St-Swanston St (East),689273,10.0
2018,October,Southbank,1376487,1.0
2018,October,Flinders St-Elizabeth St (East),1232548,2.0
2018,October,Flinders Street Station Underpass,1106982,3.0
2018,October,Spencer St-Collins St (North),1092460,4.0
2018,October,Town Hall (West),1071017,5.0
2018,October,Bourke Street Mall (North),1014422,6.0
2018,October,Bourke St Bridge,808879,7.0
2018,October,The Arts Centre,767102,8.0
2018,October,Melbourne Central-Elizabeth St (East),750189,9.0
2018,October,Bourke Street Mall (South),745256,10.0
2018,September,Flinders La-Swanston St (West),1262328,1.0
2018,September,Southbank,1232917,2.0
2018,September,Flinders St-Elizabeth St (East),1117157,3.0
2018,September,Town Hall (West),1001739,4.0
2018,September,Princes Bridge,997023,5.0
2018,September,Flinders Street Station Underpass,961365,6.0
2018,September,Bourke Street Mall (North),954591,7.0
2018,September,Spencer St-Collins St (North),940607,8.0
2018,September,Melbourne Central,907065,9.0
2018,September,The Arts Centre,827217,10.0
2019,April,Princes Bridge,1381018,1.0
2019,April,Flinders St-Elizabeth St (East),1333821,2.0
2019,April,Town Hall (West),1148257,3.0
2019,April,The Arts Centre,1101262,4.0
2019,April,Southbank,1019327,5.0
2019,April,Melbourne Central,1014705,6.0
2019,April,Bourke Street Mall (North),1005854,7.0
2019,April,Spencer St-Collins St (North),964507,8.0
2019,April,Flinders Street Station Underpass,953646,9.0
2019,April,Bourke Street Mall (South),695109,10.0
2019,August,Flinders St-Elizabeth St (East),1359268,1.0
2019,August,Spencer St-Collins St (North),1101164,2.0
2019,August,Town Hall (West),1064689,3.0
2019,August,Flinders Street Station Underpass,1051024,4.0
2019,August,Melbourne Central,981893,5.0
2019,August,Princes Bridge,963378,6.0
2019,August,Flinders la - Swanston St (West) Temp,961210,7.0
2019,August,Bourke St Bridge,858475,8.0
2019,August,Bourke Street Mall (North),838069,9.0
2019,August,The Arts Centre,815103,10.0
2019,December,Flinders La-Swanston St (West),1470360,1.0
2019,December,Flinders St-Elizabeth St (East),1346535,2.0
2019,December,Town Hall (West),1244392,3.0
2019,December,Bourke Street Mall (North),1192463,4.0
2019,December,Flinders Street Station Underpass,1187116,5.0
2019,December,Princes Bridge,1068849,6.0
2019,December,Southbank,977637,7.0
2019,December,Spencer St-Collins St (North),958089,8.0
2019,December,Bourke Street Mall (South),927155,9.0
2019,December,Melbourne Central,911297,10.0
2019,February,Southbank,1062057,1.0
2019,February,Flinders Street Station Underpass,1028553,2.0
2019,February,Spencer St-Collins St (North),993208,3.0
2019,February,Town Hall (West),969427,4.0
2019,February,Bourke Street Mall (North),881310,5.0
2019,February,St Kilda Rd-Alexandra Gardens,710020,6.0
2019,February,Bourke St Bridge,686229,7.0
2019,February,The Arts Centre,681857,8.0
2019,February,Melbourne Central-Elizabeth St (East),662439,9.0
2019,February,Flinders St-Elizabeth St (East),645261,10.0
2019,January,Southbank,1395117,1.0
2019,January,Town Hall (West),1035715,2.0
2019,January,Flinders Street Station Underpass,1015331,3.0
2019,January,Spencer St-Collins St (North),910109,4.0
2019,January,The Arts Centre,884885,5.0
2019,January,Bourke Street Mall (North),871901,6.0
2019,January,Princes Bridge,799066,7.0
2019,January,Bourke Street Mall (South),704858,8.0
2019,January,Melbourne Central-Elizabeth St (East),680089,9.0
2019,January,St Kilda Rd-Alexandra Gardens,598964,10.0
2019,July,Flinders St-Elizabeth St (East),1356376,1.0
2019,July,Spencer St-Collins St (North),1087198,2.0
2019,July,Town Hall (West),1042025,3.0
2019,July,Flinders Street Station Underpass,1030584,4.0
2019,July,Princes Bridge,1012406,5.0
2019,July,Bourke Street Mall (North),895441,6.0
2019,July,Melbourne Central,888107,7.0
2019,July,The Arts Centre,868490,8.0
2019,July,Bourke St Bridge,814354,9.0
2019,July,Southbank,750612,10.0
2019,June,Flinders St-Elizabeth St (East),1250112,1.0
2019,June,Town Hall (West),960811,2.0
2019,June,Bourke Street Mall (North),954095,3.0
2019,June,Flinders Street Station Underpass,944617,4.0
2019,June,Spencer St-Collins St (North),895342,5.0
2019,June,Princes Bridge,879108,6.0
2019,June,Melbourne Central,833350,7.0
2019,June,The Arts Centre,744230,8.0
2019,June,Southbank,682976,9.0
2019,June,Melbourne Central-Elizabeth St (East),643533,10.0
2019,March,Flinders St-Elizabeth St (East),1355988,1.0
2019,March,Southbank,1183184,2.0
2019,March,Town Hall (West),1117448,3.0
2019,March,Spencer St-Collins St (North),1086273,4.0
2019,March,Flinders Street Station Underpass,1080389,5.0
2019,March,Melbourne Central,1069562,6.0
2019,March,Bourke Street Mall (North),1009342,7.0
2019,March,The Arts Centre,836962,8.0
2019,March,Princes Bridge,751351,9.0
2019,March,Bourke St Bridge,733140,10.0
2019,May,Flinders St-Elizabeth St (East),1337425,1.0
2019,May,Spencer St-Collins St (North),1098166,2.0
2019,May,Flinders Street Station Underpass,1040433,3.0
2019,May,Town Hall (West),1008211,4.0
2019,May,Bourke Street Mall (North),979720,5.0
2019,May,Princes Bridge,958937,6.0
2019,May,Melbourne Central,892013,7.0
2019,May,Southbank,799405,8.0
2019,May,The Arts Centre,728549,9.0
2019,May,Melbourne Central-Elizabeth St (East),675960,10.0
2019,November,Flinders St-Elizabeth St (East),1311400,1.0
2019,November,Flinders La-Swanston St (West),1123654,2.0
2019,November,Flinders Street Station Underpass,1105507,3.0
2019,November,Town Hall (West),1074747,4.0
2019,November,Spencer St-Collins St (North),1054288,5.0
2019,November,Bourke Street Mall (North),1037267,6.0
2019,November,Melbourne Central,901523,7.0
2019,November,The Arts Centre,774709,8.0
2019,November,Southbank,770162,9.0
2019,November,Bourke Street Mall (South),744945,10.0
2019,October,Flinders St-Elizabeth St (East),1366031,1.0
2019,October,Flinders Street Station Underpass,1151298,2.0
2019,October,Spencer St-Collins St (North),1089498,3.0
2019,October,Town Hall (West),1047186,4.0
2019,October,Bourke Street Mall (North),1028681,5.0
2019,October,Princes Bridge,1028104,6.0
2019,October,Flinders La-Swanston St (West),982823,7.0
2019,October,Melbourne Convention Exhibition Centre,965404,8.0
2019,October,Melbourne Central,919197,9.0
2019,October,Southbank,861390,10.0
2019,September,Flinders St-Elizabeth St (East),1271923,1.0
2019,September,Flinders Street Station Underpass,1008301,2.0
2019,September,Spencer St-Collins St (North),984837,3.0
2019,September,Town Hall (West),971314,4.0
2019,September,Bourke Street Mall (North),943758,5.0
2019,September,Princes Bridge,925437,6.0
2019,September,Melbourne Central,869674,7.0
2019,September,The Arts Centre,772680,8.0
2019,September,Southbank,733141,9.0
2019,September,Melbourne Central-Elizabeth St (East),672015,10.0
2020,April,Flinders St-Elizabeth St (East),299425,1.0
2020,April,Elizabeth St-La Trobe St (East),203304,2.0
2020,April,Southbank,194288,3.0
2020,April,Flinders La-Swanston St (West),156713,4.0
2020,April,Spencer St-Collins St (North),147616,5.0
2020,April,Town Hall (West),130659,6.0
2020,April,QV Market-Elizabeth St (West),130433,7.0
2020,April,Flinders Street Station Underpass,129411,8.0
2020,April,Melbourne Central,127245,9.0
2020,April,Melbourne Central-Elizabeth St (East),126345,10.0
2020,August,Flinders St-Elizabeth St (East),254305,1.0
2020,August,Elizabeth St-La Trobe St (East),180654,2.0
2020,August,Flinders La-Swanston St (West),137467,3.0
2020,August,Southbank,130420,4.0
2020,August,Melbourne Convention Exhibition Centre,127307,5.0
2020,August,Melbourne Central-Elizabeth St (East),124483,6.0
2020,August,QV Market-Elizabeth St (West),115828,7.0
2020,August,Flinders Street Station Underpass,98834,8.0
2020,August,Spencer St-Collins St (North),98464,9.0
2020,August,Town Hall (West),97813,10.0
2020,December,Flinders La-Swanston St (West),974529,1.0
2020,December,Town Hall (West),796734,2.0
2020,December,Flinders St-Elizabeth St (East),758570,3.0
